term_id,name,meta_key,meta_value
55,Digital Prints of Flowers,restrict,"0"
41,KactusHaven,restrict,"0"
59,SeiraDesignStudio,restrict,"0"
378,FROSTY THE SNOWMAN,restrict,"0"
200228,Rainbow,restrict,"0"
200314,Turtle,restrict,"0"
201103,Bull,restrict,"0"
202044,Flamingo,restrict,"0"
206234,Elvis Presley,restrict,1
206235,Éclair,restrict,1
206236,Ömer Asik,restrict,1
206237,% off,restrict,1
206238,1. FSV Mainz 05,restrict,1
206239,10 things i hate about you,restrict,1
206240,10cc,restrict,1
206241,12 Monkeys,restrict,1
206242,1619 Established Vintage,restrict,1
206243,1800 Tequila,restrict,1
206244,2 Broke Girls,restrict,1
206245,2NE1,restrict,1
206246,30 Rock,restrict,1
206247,3CE,restrict,1
206248,5 Seconds of Summer,restrict,1
206249,50cent,restrict,1
206250,60 Minutes,restrict,1
206251,7 Days to Die,restrict,1
206252,7 Up,restrict,1
206253,98 Degrees,restrict,1
206254,A Brief History of Time,restrict,1
206255,A Bug's Life,restrict,1
206256,A Current Affair,restrict,1
206257,A Few Good Men,restrict,1
206258,A Great Big World,restrict,1
206259,"A&amp;W Restaurants",restrict,1
206260,A. J. McLean,restrict,1
206261,A.N.T. Farm,restrict,1
206262,ABBA,restrict,1
206263,AC Milan,restrict,1
206264,One Piece,restrict,1
206265,Blood stains are red ultraviolet lights are blue,restrict,1
206266,Boo Bee Mine Tried To Kill Me,restrict,1
206267,Blood stains are red ultraviolet lights,restrict,1
206268,How to train your dragon,restrict,1
206269,AC Wolfsberger,restrict,1
206270,AC/DC,restrict,1
206271,ACC Gear,restrict,1
206272,ADHD,restrict,1
206273,AEK Athens FC,restrict,1
206274,AEL Larissa,restrict,1
206275,AFC Eskilstuna,restrict,1
206276,AIK,restrict,1
206277,AIR FORCE FALCONS,restrict,1
206278,AJ McCarron,restrict,1
206279,AJ Styles,restrict,1
206280,ALABAMA CRIMSON TIDE,restrict,1
206281,ALBANY GREAT DANES,restrict,1
206282,APPALACHIAN STATE MOUNTAINEERS,restrict,1
206283,ARIZONA STATE SUN DEVILS,restrict,1
206284,ARIZONA WILDCATS,restrict,1
206285,ARKANSAS RAZORBACKS,restrict,1
206286,AS Roma,restrict,1
206287,ASICS,restrict,1
206288,ASPCA,restrict,1
206289,AUBURN TIGERS,restrict,1
206290,AVENGERS,restrict,1
206291,AZ Alkmaar,restrict,1
206292,Aalborg,restrict,1
206293,Aalen,restrict,1
206294,Aang,restrict,1
206295,Aarhus,restrict,1
206296,Aaron Carter,restrict,1
206297,Aaron Eckhart,restrict,1
206298,Aaron Gordon,restrict,1
206299,Aaron Paul,restrict,1
206300,Aaron Rodgers,restrict,1
206301,Aaron Sorkin,restrict,1
206302,Aaron Taylor-Johnson,restrict,1
206303,Abarth,restrict,1
206304,"Abercrombie &amp; Fitch",restrict,1
206305,Aberdeen,restrict,1
206306,Abilene Christian University Wildcats,restrict,1
206307,Abra,restrict,1
206308,Absinthe,restrict,1
206309,Absolut,restrict,1
206310,Ace Frehley,restrict,1
206311,Ace Ventura: Pet Detective,restrict,1
206312,Achmed,restrict,1
206313,Acid Bath,restrict,1
206314,Acne Studios,restrict,1
206315,Acqua di Parma,restrict,1
206316,Across America,restrict,1
206317,Activision,restrict,1
206318,Acura,restrict,1
206319,Adam Carolla,restrict,1
206320,Adam Clayton,restrict,1
206321,Adam DeVine,restrict,1
206322,Adam Driver,restrict,1
206323,Adam Levine,restrict,1
206324,Adam Sandler,restrict,1
206325,Adam Shankman,restrict,1
206326,Adam West,restrict,1
206327,Adele,restrict,1
206328,Adidas,restrict,1
206329,Adler Mannheim,restrict,1
206330,Admira,restrict,1
206331,Adrian College Bulldogs,restrict,1
206332,Adrian Peterson,restrict,1
206333,Adrian Smith,restrict,1
206334,Adrien Brody,restrict,1
206335,Adventure Time,restrict,1
206336,Aerie,restrict,1
206337,Aermacchi,restrict,1
206338,Aerodactyl,restrict,1
206339,Aerosmith,restrict,1
206340,Affion Crockett,restrict,1
206341,Age of Empires,restrict,1
206342,Age of Mythology,restrict,1
206343,Agent provocateur,restrict,1
206344,Agents of S.H.I.E.L.D.,restrict,1
206345,Agnes Monica,restrict,1
206346,Agnetha Fältskog,restrict,1
206347,Ahava,restrict,1
206348,Ahmad Tea,restrict,1
206349,Ahmed Ahmed,restrict,1
206350,Airheads Candy,restrict,1
206351,Airplane,restrict,1
206352,Aixam,restrict,1
206353,Ajax,restrict,1
206354,Akon,restrict,1
206355,Akron Zips,restrict,1
206356,Akuma,restrict,1
206357,Al Di Meola,restrict,1
206358,Al Franken,restrict,1
206359,Al Jolson,restrict,1
206360,Al Pacino,restrict,1
206361,Al Sharpton,restrict,1
206362,"Alabama A&amp;M Bulldogs",restrict,1
206363,Alabama State Hornets,restrict,1
206364,Aladdin (1992 Disney film),restrict,1
206365,Alain Delon,restrict,1
206366,Alakazam,restrict,1
206367,Alan Alda,restrict,1
206368,Alan Jackson,restrict,1
206369,Alan Moore,restrict,1
206370,Alan Parsons,restrict,1
206371,Alan Rickman,restrict,1
206372,Alan Tudyk,restrict,1
206373,Alanis Morissette,restrict,1
206374,Alaska Anchorage Seawolves,restrict,1
206375,Alaves,restrict,1
206376,Albert Brooks,restrict,1
206377,Alcorn State Braves,restrict,1
206378,Alec Baldwin,restrict,1
206379,Alejandro Sanz,restrict,1
206380,Alex Pettyfer,restrict,1
206381,Alex Van Halen,restrict,1
206382,Alexa Bliss,restrict,1
206383,Alexander McQueen,restrict,1
206384,Alexander Skarsgård,restrict,1
206385,Alfa Romeo,restrict,1
206386,Alfred Dunhill,restrict,1
206387,Alfred Molina,restrict,1
206388,Alice Cooper,restrict,1
206389,Alice in Chains,restrict,1
206390,Alice: Madness Returns,restrict,1
206391,Alicia Keys,restrict,1
206392,Alien,restrict,1
206393,Aliens,restrict,1
206394,Alive,restrict,1
206395,Aliyah,restrict,1
206396,All Lives Splatter,restrict,1
206397,All Lives matter,restrict,1
206398,All My Children,restrict,1
206399,All That,restrict,1
206400,All of Us,restrict,1
206401,AllSaints,restrict,1
206402,Allen Iverson,restrict,1
206403,Alpha Industries,restrict,1
206404,Alt-J,restrict,1
206405,Altach,restrict,1
206406,Alter ego,restrict,1
206407,Aluminij,restrict,1
206408,Alvin,restrict,1
206409,Chipmunks,restrict,1
206410,Alzheimer,restrict,1
206411,Alzheimer's Association,restrict,1
206412,Amadou and Mariam,restrict,1
206413,Amarula,restrict,1
206414,Amaterasu,restrict,1
206415,Amaury Nolasco,restrict,1
206416,Amazing Stories,restrict,1
206417,America's Best Dance Crew,restrict,1
206418,America's Got Talent,restrict,1
206419,America's Most Wanted,restrict,1
206420,America's Next Top Model,restrict,1
206421,American Apparel,restrict,1
206422,American Athletic Conference,restrict,1
206423,American Beauty,restrict,1
206424,American Chopper,restrict,1
206425,American Dad!,restrict,1
206426,American Dreams,restrict,1
206427,American Eagle Outfitters,restrict,1
206428,American History X,restrict,1
206429,American Horror Story,restrict,1
206430,American Idol,restrict,1
206431,American Ninja Warrior,restrict,1
206432,American Pie,restrict,1
206433,American Truck Simulator,restrict,1
206434,Amiens,restrict,1
206435,Among Us,restrict,1
206436,Amor con para,restrict,1
206437,Amor con para Aniversario,restrict,1
206438,Amur Khabarovsk,restrict,1
206439,Amy Grant,restrict,1
206440,Anaconda,restrict,1
206441,Anaheim Ducks,restrict,1
206442,Anastasia Beverly Hills,restrict,1
206443,Anderlecht,restrict,1
206444,Anderson Cooper 360°,restrict,1
206445,Anderson Ravens,restrict,1
206446,Anderson Varejão,restrict,1
206447,Anderson Varejao,restrict,1
206448,André 3000,restrict,1
206449,Andrés Iniesta,restrict,1
206450,Andre Iguodala,restrict,1
206451,Andrea Bocelli,restrict,1
206452,Andrea Pirlo,restrict,1
206453,Andrej Sekera,restrict,1
206454,Andrew Garfield,restrict,1
206455,Andrew Lincoln,restrict,1
206456,Andrew Luck,restrict,1
206457,Andrew Stanton,restrict,1
206458,Andrew Wiggins,restrict,1
206459,Andy García,restrict,1
206460,Andy Grammer,restrict,1
206461,Andy Kaufman,restrict,1
206462,Andy Samberg,restrict,1
206463,Andy Serkis,restrict,1
206464,Andy Warhol,restrict,1
206465,Angel Di Maria,restrict,1
206466,Angers,restrict,1
206467,Angry Birds,restrict,1
206468,Angus Young,restrict,1
206469,Ani DiFranco,restrict,1
206470,Animal Crossing,restrict,1
206471,Animaniacs,restrict,1
206472,Aniversario,restrict,1
206473,Ankaran Hrvatini,restrict,1
206474,Ann Arbor T-shirt Co,restrict,1
206475,Ann Wilson,restrict,1
206476,Anna,restrict,1
206477,Anna Sui,restrict,1
206478,Anne Klein,restrict,1
206479,Annie Lennox,restrict,1
206480,Anniversary Gift,restrict,1
206481,Anonymous Emblem Mask Guy,restrict,1
206482,Ansel Elgort,restrict,1
206483,Anthony Anderson,restrict,1
206484,Anthony Hopkins,restrict,1
206485,Anthony Kiedis,restrict,1
206486,Anthony Mackie,restrict,1
206487,Anthropologie,restrict,1
206488,Anti Biden,restrict,1
206489,Anti Trump,restrict,"0"
206490,Anti-Fascist,restrict,1
206491,Antiques Roadshow,restrict,1
206492,Anton Yelchin,restrict,1
206493,Antonio Banderas,restrict,1
206494,Antonio Brown,restrict,1
206495,Antony Morato,restrict,1
206496,Antwerp,restrict,1
206497,Apl.de.ap,restrict,1
206498,Apple cake,restrict,1
206499,Apple pie,restrict,1
206500,Aprilia,restrict,1
206501,Aqua,restrict,1
206502,Aqua Teen Hunger Force,restrict,1
206503,Aquafina,restrict,1
206504,Aquarius,restrict,1
206505,Aramis,restrict,1
206506,Arbok,restrict,1
206507,Arby's,restrict,1
206508,Arcade Fire,restrict,1
206509,Arcanine,restrict,1
206510,Arctic Monkeys,restrict,1
206511,Aretha Franklin,restrict,1
206512,Ariana Grande,restrict,1
206513,Ariat,restrict,1
206514,Ariel,restrict,1
206515,Aries Spears,restrict,1
206516,Arizona,restrict,"0"
206517,Arizona Cardinals,restrict,1
206518,Arizona Coyotes,restrict,1
206519,Arizona Diamondbacks,restrict,1
206520,Arjen Robben,restrict,1
206521,Arkansas Little Rock Trojans,restrict,1
206522,Arkansas Pine Bluff Golden Lions,restrict,1
206523,Arkansas State Red Wolves,restrict,1
206524,Armani,restrict,1
206525,Armani Exchange,restrict,1
206526,Arminia Bielefeld,restrict,1
206527,Armor Games,restrict,1
206528,Army Black Knights,restrict,1
206529,Army of Darkness,restrict,1
206530,Arn Anderson,restrict,1
206531,Arnold Palmer,restrict,1
206532,Arnold Schwarzenegger,restrict,1
206533,Arrive faster,restrict,1
206534,Arsenal,restrict,1
206535,Arsenio Hall,restrict,1
206536,Arthur Davidson,restrict,1
206537,Articuno,restrict,1
206538,Artie Lange,restrict,1
206539,Arturo Vidal,restrict,1
206540,Ashanti (singer),restrict,1
206541,Ashkelon,restrict,1
206542,Ashley Cole,restrict,1
206543,Ashley Tisdale,restrict,1
206544,Ashton Kutcher,restrict,1
206545,Asos,restrict,1
206546,Assassin of Youth,restrict,1
206547,Assassin's Creed,restrict,1
206548,Assat,restrict,1
206549,Associated British Foods,restrict,1
206550,Asteras Tripolis,restrict,1
206551,Aston Martin,restrict,1
206552,Aston Villa,restrict,1
206553,Atalanta,restrict,1
206554,Atelier,restrict,1
206555,Ath Bilbao,restrict,1
206556,Atl. Madrid,restrict,1
206557,Atlanta Braves,restrict,1
206558,Atlanta Falcons,restrict,1
206559,Atlanta Hawks,restrict,1
206560,Atlantic 10 Gear,restrict,1
206561,Atromitos,restrict,1
206562,Attack on Titan,restrict,1
206563,Audi,restrict,1
206564,Audien,restrict,1
206565,Auditorium,restrict,1
206566,Aue,restrict,1
206567,Augsburger Panther,restrict,1
206568,Aunticorn,restrict,1
206569,"Austin &amp; Ally",restrict,1
206570,Austin Mahone,restrict,1
206571,Austin Peay State Governors,restrict,1
206572,Austin Powers (film series),restrict,1
206573,Austin St. John,restrict,1
206574,Austria Vienna,restrict,1
206575,Authentic,restrict,"0"
206576,Automobile Dacia,restrict,1
206577,Avangard Omsk,restrict,1
206578,Avatar,restrict,1
206579,Avatar the Last Airbender,restrict,1
206580,Avon,restrict,1
206581,Avril Lavigne,restrict,1
206582,Awakenings,restrict,1
206583,Award winning,restrict,1
206584,Awesome Halloween Costume T-shirts,restrict,1
206585,Axe,restrict,1
206586,Axl Rose,restrict,1
206587,Aziz Ansari,restrict,1
206588,Azula,restrict,1
206589,B. Monchengladbach,restrict,1
206590,B.B. King,restrict,1
206591,B? chét,restrict,1
206592,BALL STATE CARDINALS,restrict,1
206593,BATMAN,restrict,1
206594,Cardinals,restrict,1
206595,BAYLOR BEARS,restrict,1
206596,BC Lions,restrict,1
206597,BEEFEATER GIN,restrict,1
206598,BELVEDERE,restrict,1
206599,BEYBLADE BURST,restrict,1
206600,BLACKMYTH,restrict,1
206601,BMW,restrict,1
206602,BOISE STATE BRONCOS,restrict,1
206603,BOSTON COLLEGE EAGLES,restrict,1
206604,BROWN BEARS,restrict,1
206605,BTS,restrict,1
206606,BURNETT’S,restrict,1
206607,BYU COUGARS,restrict,1
206608,Babe Film,restrict,1
206609,Babson Beavers,restrict,1
206610,Baby Daddy,restrict,1
206611,Baby Yoda,restrict,1
206612,Baby's Day Out,restrict,1
206613,Babylon 5,restrict,1
206614,Bacardi,restrict,1
206615,Back To The Future,restrict,1
206616,Backstreet Boys,restrict,1
206617,Bad Boys,restrict,1
206618,Bad Bunny,restrict,1
206619,Bad Company,restrict,1
206620,Badgley Mischka,restrict,1
206621,Baijiu,restrict,1
206622,Bajaj,restrict,1
206623,Bakers Bake,restrict,1
206624,Bakes great,restrict,1
206625,Balenciaga,restrict,1
206626,Ballast Point,restrict,1
206627,Balmazujvaros Sport,restrict,1
206628,Baltimore Orioles,restrict,1
206629,Baltimore Ravens,restrict,1
206630,Bambi,restrict,1
206631,Ban Guns Not Abortion,restrict,1
206632,Banana Republic,restrict,1
206633,Banana bread,restrict,1
206634,Bananarama,restrict,1
206635,Bang! Just Kidding! Hunting Humor,restrict,1
206636,Barbie,restrict,1
206637,Barcelona,restrict,"0"
206638,"Barney &amp; Friends",restrict,1
206639,Barnsley,restrict,1
206640,Baron Corbin,restrict,1
206641,Baron Davis,restrict,1
206642,Barry Gibb,restrict,1
206643,Barry Manilow,restrict,1
206644,Bars Kazan,restrict,1
206645,Bart Simpson,restrict,1
206646,Barys Astana,restrict,1
206647,Basel,restrict,1
206648,Basic Witch,restrict,1
206649,Bastian Schweinsteiger,restrict,1
206650,Bastion,restrict,1
206651,Bata Shoes,restrict,1
206652,"Bath &amp; Body Works",restrict,1
206653,Batman Beyond,restrict,1
206654,Batman Returns,restrict,1
206655,Batman: Arkham City,restrict,1
206656,Batman: The Animated Series,restrict,1
206657,Battlefield,restrict,1
206658,Battlestar Galactica,restrict,1
206659,Bauhaus,restrict,1
206660,Bayer Leverkusen,restrict,1
206661,Bayern Munich,restrict,1
206662,Bazinga,restrict,1
206663,Bean,restrict,1
206664,Beast,restrict,1
206665,Beautiful Girls,restrict,1
206666,Beauty and the Beast,restrict,1
206667,Beauty and the Geek,restrict,1
206668,Becherovka,restrict,1
206669,Beck,restrict,1
206670,Becky G,restrict,1
206671,Bee Gees,restrict,1
206672,Bee Kind,restrict,1
206673,Beedrill,restrict,1
206674,Beetlejuice,restrict,1
206675,Behind The American,restrict,1
206676,Beignet,restrict,1
206677,Beistle,restrict,1
206678,Beistle Skull,restrict,1
206679,Beitar Jerusalem,restrict,1
206680,Bejeweled,restrict,1
206681,Belanova,restrict,1
206682,Belgie,restrict,1
206683,Belgium,restrict,"0"
206684,Bella Ciao,restrict,1
206685,Belle,restrict,1
206686,Bellsprout,restrict,1
206687,Belmont Bruins,restrict,1
206688,Belstaff,restrict,1
206689,Bemidji State Beavers,restrict,1
206690,Ben Affleck,restrict,1
206691,Ben Harper,restrict,1
206692,Ben Kingsley,restrict,1
206693,Ben Roethlisberger,restrict,1
206694,Ben Sherman,restrict,1
206695,Ben Stiller,restrict,1
206696,Bender,restrict,1
206697,Bendy,restrict,1
206698,Bendy and the ink machine,restrict,1
206699,Benedict Cumberbatch,restrict,1
206700,Benefit Cosmetics,restrict,1
206701,Benelli,restrict,1
206702,Benevento,restrict,1
206703,Benicio del Toro,restrict,1
206704,Benjamin Bratt,restrict,1
206705,Benjamin Watson,restrict,1
206706,Benny Andersson,restrict,1
206707,Bentley,restrict,1
206708,Berghaus,restrict,1
206709,Bernie Mac,restrict,1
206710,Bershka,restrict,1
206711,Best deal,restrict,1
206712,Best price,restrict,1
206713,Best seller,restrict,1
206714,Best selling,restrict,1
206715,Bestseller,restrict,1
206716,Beth Dutton,restrict,1
206717,Beth Phoenix,restrict,1
206718,Betis,restrict,1
206719,Betsey Johnson,restrict,1
206720,Better Call Saul,restrict,1
206721,Betty Boop,restrict,1
206722,Beyoncé,restrict,1
206723,Beyoncé Knowles,restrict,1
206724,Beyonc,restrict,1
206725,Beyond,restrict,1
206726,Biba,restrict,1
206727,Big Fish Games,restrict,1
206728,Big Love,restrict,1
206729,Big Sean,restrict,1
206730,Big Show,restrict,1
206731,Big Sky Conference Gear,restrict,1
206732,Big Star,restrict,1
